"#"	"Network Object ""FROM"""	"Object Type"	"Network Object ""TO"""	"Object Type"	"Effect"	"Mechanism"	"Homo sapiens"	"Link Info"	"References"
547	"SP1"	"Transcription factor"	"EGFR"	"Receptor with enzyme activity"	"Activation"	"Transcription regulation"	"x"	"SP1 binds to gene EGFR promoter and promotes EGFR expression."	"8393457;9819401;10702298;10830317;11546792;12894229;15031323;16087726;16889899;18007664;18664368;21464950"
548	"TCF7L2 (TCF4)"	"Transcription factor"	"c-Myc"	"Transcription factor"	"Activation"	"Transcription regulation"	"x"	"TCF7L2 (TCF4) can bind to gene c-Myc promoter and activates its expression."	"9727977;10485457;10514384;11222711;12408868;15327767;16628215;17317781;17360646;18852287;19563778;19784072;20133699;20460455;21873734;21965303;22014570;22025562;22509275"
549	"p90Rsk"	"Protein kinase"	"GSK3 alpha/beta"	"Protein kinase"	"Inhibition"	"Phosphorylation"	"x"	"p90Rsk phosphorylates and inhibits GSK3 alpha/beta"	"7836418;9582355;9922370;11583116"
550	"PKC"	"Protein kinase"	"GSK3 alpha/beta"	"Protein kinase"	"Inhibition"	"Phosphorylation"	"x"	"GSK3 is a protein kinase that is primarily phosphorylated and inactivated by Akt and several other protein kinases, such as PKC and PKA."	"9582355;11742412;11884598;20363322;21868755"
551	"Amphiregulin"	"Receptor ligand"	"EGFR"	"Receptor with enzyme activity"	"Activation"	"Binding"	"x"	"The epidermal growth factor receptor (EGFR/ErbB1) is a transmembrane tyrosine kinase that elicits its intracellular and downstream signaling effects upon binding one of seven possible ligands including amphiregulin."	"2466334;7561890;8663535;9642297;10085134;11208164;11278309;12790326;14500256;14967450;15982853;16889899;17085050;17670913;18470483;18951974;19003995;19531065;22260327"
552	"ADAM17"	"Metalloprotease"	"Amphiregulin"	"Receptor ligand"	"Activation"	"Cleavage"	"x"	"ADAM17 is a major sheddase for Amphiregulin."	"11823465;12568494;12711607;12814936;14993236;15066986;15949939;15982853;16680572;16824663;17079736;17218988;18951988;19005493;19228719;19825997;20184396;20594269;20856228"
553	"ErbB2"	"Receptor with enzyme activity"	"ErbB3"	"Receptor with enzyme activity"	"Activation"	"Binding"	"x"	"ErbB2 physically interacts with ErbB3 and increases its activity."	"7538656;7556068;7592681;7642563;7834741;8524214;8617201;8665853;9105049;9115272;9365520;9712416;10549355;10572067;10799311;11173924;11426640;11716544;11791178;12167415;12376557;12429844;12896906;15093539;15211562;15888451;16055672;16168116;16460914;16843263;16879967;16978839;17063476;17173075;17214955;17426253;17471238;17553674;17570479;17652160;18404164;18625725;19060928;19208461;19411071;20227043;20639901;21047912;21075308;22425775"
554	"alpha-1/beta-1 integrin"	"Generic receptor"	"Talin"	"Generic binding protein"	"Activation"	"Binding"	"x"	"alpha-1/beta-1 integrin interacts with Talin and activates it"	"9497328;10497155;10679361;10801899;11017872;11382782;12782621;12894175;14641006;15037311"
555	"alpha-2/beta-1 integrin"	"Generic receptor"	"Talin"	"Generic binding protein"	"Activation"	"Binding"	"x"	"alpha-2/beta-1 integrin interacts with Talin and activates it"	"9497328;10497155;10679361;10801899;11017872;11382782;12782621;12894175;14641006;15037311"
556	"GSK3 alpha/beta"	"Protein kinase"	"HSF1"	"Transcription factor"	"Inhibition"	"Phosphorylation"	"x"	"Primary phosphorylation of HSF1 on Ser-307 by MAPK3 (p44MPK) is a prerequisite step for secondary phosphorylation on Ser-303 by GSK3-alpha. Co-expression of a GSK3-alpha repressed HSF1-induced HSP70B promoter activity."	"8940068;9660838;9774677;11080191;21253609;21629754"
557	"Leptin receptor"	"Generic receptor"	"JAK2"	"Protein kinase"	"Activation"	"Binding"	"x"	"Binding of leptin to Leptin Receptor b (LRb) leads to association with JAK2, autophosphorylation of JAK2, phosphorylation of tyrosine residues 985 and 1138 on LRb, and activation of STAT3."	"8608603;9092791;9405487;9702077;9796811;10766253;11558385;11585385;11923481;12100031;12196522;12829235;14525952;14749507;14749508;16336196;17312100;18202144"
558	"JAK2"	"Protein kinase"	"Leptin receptor"	"Generic receptor"	"Activation"	"Phosphorylation"	"x"	"Binding of leptin to Leptin Receptor b (LRb) leads to association with JAK2, autophosphorylation of JAK2, phosphorylation of tyrosine residues 985 and 1138 on LRb, and activation of STAT3."	"8608603;9405487;10799542;11923481;18202144;20936779"
559	"ILK"	"Protein kinase"	"AKT(PKB)"	"Protein kinase"	"Activation"	"Phosphorylation"	"x"	"ILK phosphorylates AKT(PKB) and increases its activity."	"9736715;10574698;10716737;10949937;11313365;11331582;12176337;14707121;15905178;16084094;17311006;18799788"
560	"Paxillin"	"Generic binding protein"	"ILK"	"Protein kinase"	"Activation"	"Binding"	"x"	"Paxillin physically interacts with ILK and increases its activity."	"11304546;11694518;12960424;15316070;15485819;16212439;16737959;17553790;18650496;18799788;19651513"
561	"VEGFR-2"	"Receptor with enzyme activity"	"PI3K reg class IA"	"Generic binding protein"	"Activation"	"Binding"	"x"	"VEGFR-2 physically interacts with PI3K reg class IA and increases its activity."	"11278468;14966899;14984432;16355213"
562	"Paxillin"	"Generic binding protein"	"c-Src"	"Protein kinase"	"Activation"	"Binding"	"x"	"VEGF treatment of KS cells leads to the enhanced association of Src kinase with paxillin."	"7534286;9694867;9785458;10085298;10640727;14636584;14665621;16212439;18086565"
563	"SHP-2"	"Protein phosphatase"	"c-Src"	"Protein kinase"	"Activation"	"Dephosphorylation"	"x"	"SHP-2 dephosphorylates c-Src and increases its activity."	"9694867;10082587;10208413;11229810;14687660;15601262;16825188;18250560;20308328;21442024"
564	"Securin"	"Transcription factor"	"Separase"	"Generic protease"	"Inhibition"	"Binding"	"x"	"ESPL1 (separase) interacts with PTTG1 (securin)."	"10411507;12194817;15880121;15989971;16868023;19117984;20360068;21402792"
565	"CDK1 (p34)"	"Protein kinase"	"PLK1"	"Protein kinase"	"Activation"	"Phosphorylation"	"x"	"Cdk1 plays a crucial role in coordinating spatial and temporal activity of PLK1 inside the mitotic cells."	"7673138;14532135;20633640"
566	"c-Src"	"Protein kinase"	"EGFR"	"Receptor with enzyme activity"	"Activation"	"Phosphorylation"	"x"	"Ionizing radiation resulted in src kinase stabilization, activation and subsequent src mediated caveolin-1 Y14- and EGFR Y845-phosphorylations. Knockdown of src by specific siRNA blocked EGFR phosphorylation at Y845, phosphorylation of caveolin-1 at Y14 and abolished EGFR transport into the nucleus and phosphorylation of DNA-PK."	"8845374;10075741;10358079;10777553;10971656;11756413;11983694;12020799;12456372;14750954;15352158;15578920;16790433;16849545;17158602;17204396;17284441;17825525;17971399;18237807;18789131;20193126;21127066;21712088"
567	"RACK1"	"Generic binding protein"	"c-Src"	"Protein kinase"	"Inhibition"	"Binding"	"x"	"Src tyrosine kinase binds to RACK1."	"9584165;10708423;11279199;11964397;12589061;15823555;17072338;17574549;20357007"
568	"alpha-11/beta-1 integrin"	"Generic receptor"	"FAK1"	"Protein kinase"	"Activation"	"Binding"	"x"	"alpha-11/beta-1 integrin interacts with FAK1 and activates it"	
569	"alpha-2/beta-1 integrin"	"Generic receptor"	"FAK1"	"Protein kinase"	"Activation"	"Binding"	"x"	"The ollagen receptor alpha-2/beta-1-integrin regulates the activation of FAK."	"20332118"
570	"VEGFR-2"	"Receptor with enzyme activity"	"FAK1"	"Protein kinase"	"Activation"	"Phosphorylation"	"x"	"VEGFR-2 phosphorylates FAK1 and increases its activity."	"10347094;16415178;19203212"
571	"PAK1"	"Protein kinase"	"c-Raf-1"	"Protein kinase"	"Activation"	"Phosphorylation"	"x"	"PAK1 phosphorylates c-Raf-1 and increases its activity."	"9234708;9823899;10205168;11733498;11948406;12551923;15003621;15157156;15849194;15886202;16099987;17097642;17981578;20637424;21515363"
572	"NCOA3 (pCIP/SRC3)"	"Generic binding protein"	"ESR1 (nuclear)"	"Transcription factor"	"Activation"	"Binding"	"x"	"NCOA3 (pCIP/SRC3) regulation of transcription of ESR1 (nuclear) was shown by chromatin immunoprecipitation and quantitative RT-PCR."	"9192892;9252329;9346901;9765300;9773983;10490106;10707952;10713439;11050174;11178903;11250900;11353774;11389589;11768608;11893728;12612084;12714702;14766010;15145444;15256502;15289619;15383283;15677324;16092128;16135815;16539836;16923966;16945990;17047081;17158759;17932104;18645020;18973695;19207820;19276281;20392877;21182203;21647249;22550166"
573	"LKB1"	"Protein kinase"	"BRG1"	"Generic enzyme"	"Activation"	"Binding"	"x"	"Binding of LKB1 to BRG1 was shown by tandem affinity purification (TAP) of protein complexes from cultured cells and protein sequencing by tandem mass spectrometry."	"11445556;12829253;14676191;15623475"
574	"Raptor"	"Generic binding protein"	"mTOR"	"Protein kinase"	"Activation"	"Binding"	"x"	"Raptor binds with mTOR and positively regulates TOR complex 1 functions."	"12150925;12150926;12408816;12604610;12665511;12719976;12747827;14560962;14990586;14998490;15066126;15268862;15459249;15467718;15718470;15755954;16169463;16183647;16354680;16603397;16631613;16724053;16724055;16798736;16837165;16847060;16919458;16962653;17041621;17041622;17043309;17046229;17141160;17321123;17376031;17461779;17510058;17565979;17613433;17928127;18215152;18411301;18505677;18570873;18664580;18722121;19272448;19446321;19850923;20127721;20439490;20484410;20801936;21045808;21724852;21757621;21763421;21795849;21914810;22139837;22173835;22356909;22544753"
575	"PKC-delta"	"Protein kinase"	"mTOR"	"Protein kinase"	"Inhibition"	"Binding"	"x"	"PKC-delta physically interacts with  mTOR and decreases its activity."	"10698949;19074768"
576	"PKA-cat (cAMP-dependent)"	"Protein kinase"	"GSK3 alpha/beta"	"Protein kinase"	"Inhibition"	"Phosphorylation"	"x"	"Ser21/9 of GSK-3 has been shown physiological targets of PKA and PKA phosphorylated GSK-3 shows attenuated enzymatic activity."	"11035810;11094086;11884598;18555664;20363322"
577	"PtdIns(3,4,5)P3 intracellular"	"Compоund"	"VAV-2"	"Regulators (GDI, GAP, GEF)"	"Activation"	"Binding"	"x"	"PtdIns(3,4,5)P3 interacts with VAV-2 and activates it"	"10934226;15728722"
578	"p53"	"Transcription factor"	"EGFR"	"Receptor with enzyme activity"	"Activation"	"Transcription regulation"	"x"	"p53 produces induction of the EGFR promoter at high doses, and inhibition at low doses, and both these effects require intact p53 binding sites."	"9285564;10029407;15449312;16889899;17188467;18359760;18391986;18495754;18577466;20190820"
579	"Beta-catenin"	"Generic binding protein"	"TCF7L2 (TCF4)"	"Transcription factor"	"Activation"	"Binding"	"x"	"TCF4 and beta-catenin form a complex and have DNA binding activity.  Wnt-1 induces beta-catenin/T-cell factor-dependent transcription in esophageal cancer cells."	"10080941;10607566;10825188;10898789;11126358;11713475;11713476;11782388;12657632;12711682;12750294;12861022;12944908;14747478;15239100;15260989;15294866;15331612;15381698;15525529;15578569;15684397;16007074;16141201;16230076;16306047;16442529;16564030;16569639;16724116;17052462;17072306;17167838;17283121;17318191;17983804;18250171;18423204;18439914;18595660;18772112;19359597;19503085;19554044;19734199;19805521;20858269;22509275"
580	"alpha-6/beta-4 integrin"	"Generic receptor"	"Plectin 1"	"Generic binding protein"	"Activation"	"Binding"	"x"	"Plectin 1, a major component of the cytoskeleton, has the unique property of the plectin-actin-binding domain (ABD) to bind to both F-actin and beta-4 subunit of alpha-6/beta-4 integrin."	"11156599;12441134;14517317;16581764"
581	"Hamartin"	"Generic binding protein"	"Tuberin"	"Regulators (GDI, GAP, GEF)"	"Activation"	"Binding"	"x"	"Tuberin binds to Hamartin and forms a tumor suppressor complex associated with the autosomal-dominant genetic disorder, TSC."	"9580671;9809973;10585443;10807585;10915759;11175345;11290735;11741832;11741833;12147258;12167664;12176984;12226091;12511557;12869586;12906785;14551205;14651849;15340059;15342917;15611338;15851026;15963462;16258273;16288294;16339216;16357142;16424383;16552619;16636147;16724053;16897363;16968213;17077083;17321123;17658474;17693255;17928127;17972252;18094094;18177819;18411301;18466115;19143635;19602587;20166753;20412061;20936779"
582	"SHP-2"	"Protein phosphatase"	"EGFR"	"Receptor with enzyme activity"	"Inhibition"	"Dephosphorylation"	"x"	"Activated EGFR interacts with the SH2 domain of Syp. This interaction was modeled on a demonstrated interaction between EGFR from an unspecified species and Syp from mouse."	"7673163;8096088;8183548;8514779;9756944;11223155;11297548;11593409;12614164;14560030;15213840;16261333;16273093;16391241;16729043;17993263;19359598;19427850;20473329"
583	"SynGAP"	"Regulators (GDI, GAP, GEF)"	"H-Ras"	"RAS - superfamily"	"Inhibition"	"Transformation"	"x"	"H-Ras ihibits by SynGAP."	"9581761;9620694"
584	"LKB1"	"Protein kinase"	"AMPK alpha subunit"	"Protein kinase"	"Activation"	"Phosphorylation"	"x"	"LKB1 phosphorylates AMPK alpha subunit and increases its activity."	"7592975;14511394;14614828;14742438;14976552;14985505;15068958;15261145;15509864;16340011;16443822;16724055;16756488;16849518;17459875;17712357;17878409;19029933;19584313;19937189;20182617;20399660"
585	"ESR1 (nuclear)"	"Transcription factor"	"SP1"	"Transcription factor"	"Activation"	"Binding"	"x"	"ER alpha also interacts with Sp1 protein to transactivate genes through binding Sp1(N)xERE or Sp1(N)xERE half-site (1/2) motifs where both ER alpha and Sp1 bind DNA elements."	"9611253;10446910;10681512;11345900;12174911;15031323;15094156;15557281;15637147;15878629;15987735;16092128;16267837;16571873;16608856;16651265;17306756;17312152;18364237;18765668;18772268;20215421;21670145"
586	"Tcf(Lef)"	"Transcription factor"	"VEGF-A"	"Receptor ligand"	"Activation"	"Transcription regulation"	"x"	"Tcf(Lef) binds to the promoter region of VEGF-A and stimulates its expression"	"11507052;12810642;15899904"
587	"Leptin receptor"	"Generic receptor"	"SHP-2"	"Protein phosphatase"	"Activation"	"Binding"	"x"	"Phosphorylated Tyr985 of Leptin Receptor B (LRb) binds Src homology 2 (SH2)-containing tyrosine phosphatase-2, which activates ERK."	"9600917;10449753;11018044;11085989;11342028;14749507;16336196;18202144"
588	"TCF7L2 (TCF4)"	"Transcription factor"	"Cyclin D1"	"Generic binding protein"	"Activation"	"Transcription regulation"	"x"	"TCF7L2 and  beta-catenin increase expression of cyclin D1 via interaction with its promoter."	"10201372;11222711;15116100;17360646;18216022;18632669;19900401;20044351;21145869;21527747;21901280;22292058;22318732"
589	"ADAM17"	"Metalloprotease"	"Leptin receptor"	"Generic receptor"	"Unspecified"	"Cleavage"	"x"	"ADAM17 cleaves Leptin receptor."	"11564702"
590	"Leptin receptor"	"Generic receptor"	"STAT3"	"Transcription factor"	"Activation"	"Binding"	"x"	"Leptin binds to leptin receptor and stimulates the phosphorylation of STAT3."	"8608603;8692797;9003804;9796811;10799542;11018044;11923481;12540594;12594516;12824284;14749507;14749508;15604114;15634336;16336196;18619412"
591	"Leptin receptor"	"Generic receptor"	"STAT5B"	"Transcription factor"	"Activation"	"Binding"	"x"	"Studies have also demonstrated that leptin stimulates the phosphorylation of Tyr1077 on Leptin Receptor B and activates STAT5."	"8692794;8692797;11448122;11549273;12674509;14625304;18202144"
592	"Leptin receptor"	"Generic receptor"	"JAK1"	"Protein kinase"	"Activation"	"Binding"	"x"	"Leptin receptor interacts with JAK1 and activates it"	"9405487;9600917;10766253;12039028"
593	"GSK3 beta"	"Protein kinase"	"Androgen receptor"	"Transcription factor"	"Inhibition"	"Phosphorylation"	"x"	"GSK3 beta binds to Androgen receptor."	"14985354;15178691;15361837;17896924"
594	"AKT(PKB)"	"Protein kinase"	"GSK3 beta"	"Protein kinase"	"Inhibition"	"Phosphorylation"	"x"	"AKT(PKB) inhibits GSK3 alpha by phosphorylation at Ser-9."	"11584303;11701324;12750378;14966899;14985354;15016802;15878878;15993040;16007092;16516442;16619268;16817229;16934435;17029735;17311006;17386267;17537614;17595317;17604717;17716864;17971449;17993264;18218726;18678273;18804163;19307602;19416964;20399660;21779512"
595	"PDK (PDPK1)"	"Protein kinase"	"p90Rsk"	"Protein kinase"	"Activation"	"Phosphorylation"	"x"	"PDK (PDPK1) phosphorylates and activates p90Rsk"	"10021376;10469565;10480933;10610536;10856237;11357143;11585927;15632195"
596	"AKT(PKB)"	"Protein kinase"	"Tuberin"	"Regulators (GDI, GAP, GEF)"	"Inhibition"	"Phosphorylation"	"x"	"AKT/PKB was the first kinase recognized to phosphorylate and inactivate tuberin upon insulin or growth factor stimulation."	"12150915;12167664;12172553;15029179;15130559;15156201;16027121;16258273;16288294;16339964;16619268;16636147;16724053;16724055;16862180;16968213;17041622;17321123;17376031;17386267;17604717;17712357;17928127;17972252;18094094;18177819;18291711;18466115;18555664;18930818;20965424"
597	"Androgen receptor"	"Transcription factor"	"c-Src"	"Protein kinase"	"Activation"	"Binding"	"x"	"Androgen receptor physically interacts with c-Src and increases its activity."	"11032808;12351684;12933816;15027889;15062576;15352158;15466214;16518832;17272394;17486077;18674639;21328455;22117069;22518120"
598	"EGFR"	"Receptor with enzyme activity"	"PI3K reg class IA"	"Generic binding protein"	"Activation"	"Binding"	"x"	"EGFR interacts with PI3K reg class IA and activates it"	"1372091;8914981"
599	"EGFR"	"Receptor with enzyme activity"	"FAK1"	"Protein kinase"	"Activation"	"Phosphorylation"	"x"	"Interaction of EGFR with FAK1 was identified by screening of signaling networks associated with EGF receptor activation and pharmacological inhibition by anti-phosphotyrosine and anti-EGFr affinity chromatography, isotope-coded muLC-MS/MS, and immunoblot methods."	"10806474;11114741;11359909;12167618;15657067;15688067;17185517;20473329;22227249"
600	"PKA-cat (cAMP-dependent)"	"Protein kinase"	"LKB1"	"Protein kinase"	"Activation"	"Phosphorylation"	"x"	"LKB1 is phosphorylated by ATM (ataxia telangiectasia mutated), and protein kinase A (PKA), ribosomal protein S6 kinase 90 kDa or protein kinase C z."	"10642527;11297520;11853558;12540903;12829253;14999267;17482549;19029933"
601	"p90RSK2(RPS6KA3)"	"Protein kinase"	"LKB1"	"Protein kinase"	"Activation"	"Phosphorylation"	"x"	"LKB1 is phosphorylated by ATM (ataxia telangiectasia mutated), and protein kinase A (PKA), ribosomal protein S6 kinase 90 kDa or protein kinase C z."	"11297520;11853558;12829253;19029933;21372320"
602	"LKB1"	"Protein kinase"	"PTEN"	"Lipid phosphatase"	"Activation"	"Phosphorylation"	"x"	"LKB1 phosphorylates PTEN and increases its activity."	"12649203;12829253;15987703;17010524;17878409;19029933"
603	"Tuberin"	"Regulators (GDI, GAP, GEF)"	"RHEB2"	"RAS - superfamily"	"Inhibition"	"Transformation"	"x"	"The main mechanism of the function of tuberin appears to be to regulate the GTP/GDP status of rheb by virtue of its GAP domain."	"12771962;12820960;12842888;12869586;12906785;15029179;15340059;15755954;15854902;16258273;16288294;16636147;16724053;16724055;16728407;16849518;16897363;16968213;17041622;17077083;17244624;17321123;17712357;17928127;18094094;18177819;18309292;18466115;18555664;19176517;20018863;20576033;20936779;21686267;22795129"
604	"GSK3 alpha/beta"	"Protein kinase"	"Cyclin D1"	"Generic binding protein"	"Inhibition"	"Phosphorylation"	"x"	"GSK3 is thought to phosphorylate cyclin D1 at threonine 286 (Thr286)."	"11584304;14593744;17407548"
605	"RHEB2"	"RAS - superfamily"	"mTOR"	"Protein kinase"	"Activation"	"Binding"	"x"	"Rheb directly interacts with mTOR Complex1, thus stimulating its ability to signal downstream to S6K1."	"12869586;12906785;15029179;15156201;15185396;15755954;15772076;15854902;15878852;16098514;16258273;16631613;16724053;16724055;16915281;16968213;17018601;17041622;17321123;17613433;17928127;18094094;18177819;18466115;18550814;18555664;19000755;19887105;20965424;22649696"
606	"mTOR"	"Protein kinase"	"AKT(PKB)"	"Protein kinase"	"Activation"	"Phosphorylation"	"x"	"MTOR Complex2 appears to be the major kinase involved in regulating the phosphorylation of S473 on protein kinase B (PKB/Akt)."	"9636226;12217904;12748652;15718470;16603397;16619268;16717100;16968213;17041621;17046229;17321123;17376031;17928127;18094094;18466115;20851763"
607	"ErbB2"	"Receptor with enzyme activity"	"ErbB4"	"Receptor with enzyme activity"	"Activation"	"Binding"	"x"	"To prove further that the maintenance of HER2 phosphorylation was due to HER4 activation, we assessed the dimerization between HER2 and HER4. Indicative of dimerization in SKBR3 and MCF-7 cells, Figure 2B illustrates the co-immunoprecipitation of HER2 with intracellular anti-HER4, induced by heregulin stimulation or EGFR inhibition with either AG 1478 or Iressa."	"8617201;9105049;9365520;10549355;10572067;10623878;11791178;12167415;12374672;12429844;15982853;16460914;16767099;16978839;17493932;17553674;18682844"
608	"AFAP"	"Generic binding protein"	"c-Src"	"Protein kinase"	"Activation"	"Binding"	"x"	"AFAP physically interacts with c-Src and increases its activity."	"9655255;10666339;11607843;12114187;12134071;15314167;15485829;16189514;21333378"
609	"GSK3 beta"	"Protein kinase"	"CREB1"	"Transcription factor"	"Inhibition"	"Phosphorylation"	"x"	"GSK3 beta phosphorylates CREB1 and inhibits its LPS-, EGF- and IGF-1-induced activity, but increases its PTH-induced activity."	"11579131;11796524;12162494;16007092;21629754"
610	"AMPK beta subunit"	"Generic binding protein"	"AMPK alpha subunit"	"Protein kinase"	"Activation"	"Binding"	"x"	"AMPK beta subunit associates with AMPK alpha subunit. AMPK beta subunit necessary for complex formation."	"8626596;8910387"
611	"Progesterone receptor"	"Transcription factor"	"p300"	"Generic enzyme"	"Activation"	"Binding"	"x"	"p300 interacts with PR."	"9553133;10529898;11606780"
612	"GSK3 alpha/beta"	"Protein kinase"	"c-Myc"	"Transcription factor"	"Inhibition"	"Phosphorylation"	"x"	"GSK3 is thought to phosphorylate cyclin D1 at threonine 286 (Thr286), and the transcription factor c-myc at Thr58, which targets these proteins for ubiquitylation and subsequent proteolytic destruction."	"11584304;14563837;15286700;16510874;16938463;16987807;21629754;22025562"
613	"JAK2"	"Protein kinase"	"c-Raf-1"	"Protein kinase"	"Activation"	"Binding"	"x"	"JAK2 physically interacts with c-Raf-1 and increases its activity."	"8876196;9689060;10205168;11134016;17933524"
614	"GSK3 alpha/beta"	"Protein kinase"	"C/EBPbeta"	"Transcription factor"	"Inhibition"	"Phosphorylation"	"x"	"GSK3 regulates a number of transcription factors with links to endocrine action, in particular the transcription factors C/EBPbeta and CREB, which are responsive to hormones that stimulate the generation of the second messenger cAMP."	"11278638;15367685;21629754"
615	"PP2A catalytic"	"Protein phosphatase"	"c-Raf-1"	"Protein kinase"	"Activation"	"Binding"	"x"	"Raf has the ability to interact with a large number of proteins, including PP2A."	"10322434;15664191;15943972;17706925"
616	"p90RSK2(RPS6KA3)"	"Protein kinase"	"PDK (PDPK1)"	"Protein kinase"	"Activation"	"Binding"	"x"	"P90RSK2(RPS6KA3) physically interacts with PDK (PDPK1) and increases its activity."	"10856237"
617	"p90RSK2(RPS6KA3)"	"Protein kinase"	"CREB1"	"Transcription factor"	"Activation"	"Phosphorylation"	"x"	"p90RSK2(RPS6KA3) phosphorylates CREB1 and increases its activity."	"8688081;9528766;9687510;9770464;9829964;10723128;11160957;11175347;15470197;17646388;18813292;21372320"
618	"p90RSK3(RPS6KA2)"	"Protein kinase"	"CREB1"	"Transcription factor"	"Activation"	"Phosphorylation"	"x"	"p90RSK3(RPS6KA2) phosphorylates CREB1 and increases its activity."	"8688081;9528766;9687510;9829964;11175347;11698596;21372320"
619	"p90RSK1"	"Protein kinase"	"CREB1"	"Transcription factor"	"Activation"	"Phosphorylation"	"x"	"p90RSK1 phosphorylates CREB1 and increases its activity."	"8688081;9006973;9528766;9687510;9829964;11175347;12235136;15470197;16099987;16282323;17646388;21372320;21904880"
620	"PDK (PDPK1)"	"Protein kinase"	"p90RSK1"	"Protein kinase"	"Activation"	"Phosphorylation"	"x"	"PDK (PDPK1) phosphorylates p90RSK1 and increases its activity."	"9430688;10469565;10480933;11585927;15632195"
621	"Talin"	"Generic binding protein"	"FAK1"	"Protein kinase"	"Activation"	"Binding"	"x"	"FAK1 is primarily recruited to sites of integrin clustering via interactions between its C-terminal domain and integrin-associated proteins such as talin and paxillin."	"7622520;9402009;9442086;11799401;12005431;15258893;15688067;16919435;17185517"
622	"AKT(PKB)"	"Protein kinase"	"GSK3 alpha"	"Protein kinase"	"Inhibition"	"Phosphorylation"	"x"	"AKT(PKB) inhibits GSK3 alpha by phosphorylation at Ser-21."	"12734207;16516442;16619268;17386267;17537614;17604717;17716864;17993264;18678273;20399660;21779512"
623	"PKA-cat (cAMP-dependent)"	"Protein kinase"	"GSK3 alpha"	"Protein kinase"	"Inhibition"	"Phosphorylation"	"x"	"PKA-cat (cAMP-dependent) phosphorylates and inhibits GSK3 alpha"	"11035810;11094086;11884598"
624	"PKA-cat (cAMP-dependent)"	"Protein kinase"	"GSK3 beta"	"Protein kinase"	"Inhibition"	"Phosphorylation"	"x"	"GSKIP forms a ternary complex with regulatory RIIalpha subunits of PKA and GSK3beta and facilitates PKA phosphorylation of GSK3beta."	"11035810;11884598;12147701;16199882;16934435;20007971;21430442"
625	"Prolactin receptor"	"Generic receptor"	"c-Src"	"Protein kinase"	"Activation"	"Binding"	"x"	"Prolactin receptor physically interacts with c-Src and increases its activity."	"8584023"
626	"GSK3 beta"	"Protein kinase"	"NF-AT2(NFATC1)"	"Transcription factor"	"Inhibition"	"Phosphorylation"	"x"	"GSK3 is an export kinase that phosphorylates the SP2 motif of NFAT1 and both the SP2 and SP3 motifs of NFAT2."	"9072970;15928679;20725108"
627	"c-Raf-1"	"Protein kinase"	"MEK2(MAP2K2)"	"Protein kinase"	"Activation"	"Phosphorylation"	"x"	"c-Raf-1 phosphorylates MEK2(MAP2K2) and increases its activity."	"1326789;7565670;8157000;8393135;9671314;9733801;11018021;11325826;11909642;12586443;12876556;14724641;15313400;16189514;16508002;16724053;16858395;17314970;17537614"
628	"GSK3 beta"	"Protein kinase"	"NF-kB1 (p50)"	"Transcription factor"	"Activation"	"Phosphorylation"	"x"	"A radioactive band of 105-kDa apparent molecular mass specifically appears after incubation of the p50/p105 immunoprecipitation product with GSK3."	"10894547;11425860"
629	"ERK1/2"	"Protein kinase"	"p90RSK1"	"Protein kinase"	"Activation"	"Phosphorylation"	"x"	"RSK1 is phosphorylated and activated by ERK1."	"1545823;8939914;10469565;12832467;15632195;15647351;15802625;16880823;17646388;21904880"
630	"CDC25A"	"Protein phosphatase"	"EGFR"	"Receptor with enzyme activity"	"Inhibition"	"Dephosphorylation"	"x"	"CDC25A dephosphorylates and inhibits EGFR"	"11912208;15652497"
631	"GSK3 beta"	"Protein kinase"	"RelA (p65 NF-kB subunit)"	"Transcription factor"	"Activation"	"Phosphorylation"	"x"	"GSK3 beta phosphorylates RelA (p65 NF-kB subunit) and increases its activity."	"15653325;18201972;18267068;20363318;21170083"
632	"p90RSK1"	"Protein kinase"	"RelA (p65 NF-kB subunit)"	"Transcription factor"	"Activation"	"Phosphorylation"	"x"	"RSK1- or TBK1-mediated phosphorylation of S536 lowers RelA's affinity for NFKBIA and decreases NFKBIA-mediated nuclear export of NF-kB."	"15073170;15653325;15802625;16751795;16822942;20363318;21683058"
633	"mTOR"	"Protein kinase"	"p70 S6 kinase2"	"Protein kinase"	"Activation"	"Phosphorylation"	"x"	"mTORC1 (mammalian TORC1) phosphorylates the ribosomal S6 kinases S6K1 and S6K2."	"11733037;17041621;17041627;17046229;17374522;17503347;17613433;18466115"
634	"ErbB2"	"Receptor with enzyme activity"	"c-Src"	"Protein kinase"	"Activation"	"Binding"	"x"	"SRC (SRC-1) interacts with the ERBB2 (HER2) promoter."	"7542762;7903421;9444956;11940572;15170449;15788656;16170374;18721752;19103753;19190626;19372587;19515834"
635	"c-Src"	"Protein kinase"	"PDK (PDPK1)"	"Protein kinase"	"Activation"	"Phosphorylation"	"x"	"Phosphorylated Tyr-2 acts as docking site for c-Src binding via its SH2 domain leading to PDPK1 activation."	"11481331;14585963;18024423"
